Ticker,Chart Link,Company,Sector,Price,Market Cap,Revenue Growth %,EPS Growth %,3M Momentum %,Pullback 1M %,RSI,MA50,MA200,Above MA50,Above MA200,MA50 > MA200,Entry Setup,High Conviction Dip Buy,News Sentiment Score,News Sentiment Label,News Headlines Count,Top News Headlines,P/E,Forward P/E,Free Cash Flow,Debt to Equity,ROE %,Profit Margin %,Score,Signal
GEV,https://www.tradingview.com/chart/?symbol=GEV,GE Vernova Inc.,Industrials,1048.61,281782484992,16.3,1816.5,20.11,-6.39,39.0,996.07,744.54,True,True,True,HIGH CONVICTION DIP BUY,True,62.03,POSITIVE,5,"GE Vernova Turbine Milestone Raises Questions On Cash Flows And Dividends | Dow Jones Futures Rise After S&P 500, Nasdaq Hit Highs; 5 AI Stocks In Buy Areas | Why GE Vernova Stock Triumphed on Tuesday",30.61,42.78,9315624960.0,24.925,75.71,23.81,90.66,BUY SIGNAL
TER,https://www.tradingview.com/chart/?symbol=TER,"Teradyne, Inc.",Technology,369.88,57901813760,87.0,314.8,15.62,-7.96,46.61,345.27,230.98,True,True,True,HIGH CONVICTION DIP BUY,True,59.45,NEUTRAL,5,"Dow Jones Futures Rise After S&P 500, Nasdaq Hit Highs; 5 AI Stocks In Buy Areas | FormFactor, Amkor, and Teradyne Shares Are Soaring, What You Need To Know | Wall Street Analysts Think Teradyne (TER) Is a Good Investment: Is It?",68.37,38.88,298311264.0,2.621,28.75,22.55,90.21,BUY SIGNAL
WDC,https://www.tradingview.com/chart/?symbol=WDC,Western Digital Corporation,Technology,531.43,183174430720,45.5,482.9,90.09,32.62,60.88,389.32,225.85,True,True,True,BULLISH TREND,False,60.81,POSITIVE,5,"Sandisk raised as Barclays says memory/storage ‘the most attractive vertical’ | Sandisk Stock’s 4,000% Rise Is Happening Too Fast to Keep Up With | WDC vs. QMCO: Which Data Infrastructure Stock to Bet On?",31.86,30.17,2075000064.0,17.81,85.92,55.29,90.06,BUY SIGNAL
NVDA,https://www.tradingview.com/chart/?symbol=NVDA,NVIDIA Corporation,Technology,211.335,5118745378816,85.2,214.5,19.28,-2.44,53.02,198.06,187.33,True,True,True,BULLISH TREND,False,51.32,NEUTRAL,5,"Tech stocks today: Samsung defuses strike threat, Micron and SK Hynix join the $1 trillion club | Can Huawei's new chip challenge incumbents and shake up the market? | Micron's valuation hits $1T, nearly tied with Eli Lilly & Berkshire",32.36,16.7,46335873024.0,6.555,114.29,62.97,87.21,BUY SIGNAL
GOOGL,https://www.tradingview.com/chart/?symbol=GOOGL,Alphabet Inc.,Communication Services,391.925,4748345344000,21.8,82.0,25.8,11.87,45.15,344.6,297.88,True,True,True,BULLISH TREND,False,57.16,NEUTRAL,5,The Micron stock price bubble explained in 2 numbers | Why the market could be in 'the most logical' bubble in history | AMZN Stock Is Rising Today — Could Its New AI Shopping Push Be The Reason?,29.9,27.08,27921750016.0,20.026,38.88,37.92,86.77,BUY SIGNAL
GOOG,https://www.tradingview.com/chart/?symbol=GOOG,Alphabet Inc.,Communication Services,387.805,4698429456384,21.8,82.0,24.61,11.27,43.72,342.18,297.67,True,True,True,BULLISH TREND,False,55.26,NEUTRAL,5,The Micron stock price bubble explained in 2 numbers | Why the market could be in 'the most logical' bubble in history | AMZN Stock Is Rising Today — Could Its New AI Shopping Push Be The Reason?,29.56,26.79,27921750016.0,20.026,38.88,37.92,84.52,BUY SIGNAL
APP,https://www.tradingview.com/chart/?symbol=APP,AppLovin Corporation,Communication Services,578.41,194310766592,59.0,113.1,33.04,25.66,68.19,451.91,535.02,True,True,False,BULLISH TREND,False,60.91,POSITIVE,5,"AppLovin Stock Surges Past Key Level As Analyst Offers Bullish View | Spotlight On May 2026's Leading Growth Stocks With Insider Ownership | Stock Market Today: Nasdaq, Micron Close At New Highs; This Airline Teams Up With Musk's Starlink (Live Coverage)",50.21,26.38,3180097280.0,162.888,266.44,64.29,84.32,BUY SIGNAL
VRT,https://www.tradingview.com/chart/?symbol=VRT,Vertiv Holdings Co,Industrials,319.6721,122788864000,30.1,135.7,25.45,-0.86,35.67,305.43,209.49,True,True,True,BULLISH TREND,False,69.63,POSITIVE,5,"Xerox and Super Micro Shares Are Soaring, What You Need To Know | Dell and Diebold Nixdorf Stocks Trade Up, What You Need To Know | VRT Benefits From Strong International Expansion: More Upside Ahead?",80.32,36.18,1964749952.0,76.913,45.1,14.37,84.02,BUY SIGNAL
NEM,https://www.tradingview.com/chart/?symbol=NEM,Newmont Corporation,Basic Materials,107.64,114911379456,45.8,78.6,-17.03,-7.27,40.14,110.84,99.58,False,True,True,BUY THE DIP,False,66.62,POSITIVE,5,AEM vs. NEM: Which Gold Mining Giant Should You Invest in Now? | Gina Rinehart Invests $97 Million in US Defense Stocks | Is Aura Minerals Positioned for Stronger GEO Growth in 2026?,13.96,9.41,9804874752.0,15.762,25.83,33.87,82.58,BUY SIGNAL
AFL,https://www.tradingview.com/chart/?symbol=AFL,Aflac Incorporated,Financial Services,114.86,58464550912,27.9,3860.0,2.24,0.68,58.49,112.38,109.57,True,True,True,BULLISH TREND,False,51.53,NEUTRAL,5,Morgan Stanley Lifts Aflac (AFL) PT to $125 on Solid Insurance Trends | Aflac Raises 65.9B Yen in Japan Bond Market Amid Foreign Issuer Rush | Aflac Follows Alphabet Into Japan’s Booming Yen Bond Market,13.13,15.11,4923125248.0,48.276,16.47,25.6,82.22,BUY SIGNAL
AMZN,https://www.tradingview.com/chart/?symbol=AMZN,"Amazon.com, Inc.",Consumer Cyclical,271.2529,2917897338880,16.6,74.8,29.17,3.88,46.02,244.27,231.01,True,True,True,BULLISH TREND,False,61.25,POSITIVE,5,"American Airlines to use SpaceX's Starlink, joining United & JetBlue | Berkshire Hathaway Still Has Not Sold Its Bank of America Stake. Here's What That Tells Long-Term Investors. | AMZN Stock Is Rising Today — Could Its New AI Shopping Push Be The Reason?",32.37,27.51,9806624768.0,53.3,24.29,12.22,82.1,BUY SIGNAL
