Ticker,Chart Link,Company,Sector,Price,Market Cap,Revenue Growth %,EPS Growth %,3M Momentum %,Pullback 1M %,RSI,MA50,MA200,Above MA50,Above MA200,MA50 > MA200,Entry Setup,High Conviction Dip Buy,News Sentiment Score,News Sentiment Label,News Headlines Count,Top News Headlines,P/E,Forward P/E,Free Cash Flow,Debt to Equity,ROE %,Profit Margin %,Score,Signal
WDC,https://www.tradingview.com/chart/?symbol=WDC,Western Digital Corporation,Technology,529.975,182672916480,45.5,482.9,96.32,28.4,63.33,398.16,230.4,True,True,True,BULLISH TREND,False,66.26,POSITIVE,5,"Can Western Digital Deliver Continued Gross Margin Improvement? | Sandisk's QLC Stargate Gains Traction: A New Revenue Growth Catalyst? | Sandisk Rockets 4000% on AI Memory Boom: Buy, Hold, or Take Profits?",31.68,30.09,2075000064.0,17.81,85.92,55.29,90.5,BUY SIGNAL
NVDA,https://www.tradingview.com/chart/?symbol=NVDA,NVIDIA Corporation,Technology,216.64,5247237357568,85.2,214.5,18.73,3.53,51.34,199.46,187.67,True,True,True,BULLISH TREND,False,54.12,NEUTRAL,5,"Dell stock unexpectedly booms on AI demand: What investors may have missed | Republican lawmakers are trading like Trump, piling into Big Tech stocks | Memory chip stocks just starting to show 'climactic top' moves",33.18,17.12,46335873024.0,6.555,114.29,62.97,87.43,BUY SIGNAL
MU,https://www.tradingview.com/chart/?symbol=MU,"Micron Technology, Inc.",Technology,963.95,1087045369856,196.3,756.0,133.68,85.92,69.71,557.39,338.56,True,True,True,BULLISH TREND,False,46.76,NEUTRAL,5,AI server sales push Dell stock to new heights: Earnings takeaways | Memory chip stocks just starting to show 'climactic top' moves | Nvidia GTC Hype vs Stock Reaction: Why Isn't $NVDA Moving More?,45.58,9.19,2893499904.0,14.902,39.82,41.49,86.19,BUY SIGNAL
GOOG,https://www.tradingview.com/chart/?symbol=GOOG,Alphabet Inc.,Communication Services,379.16,4593691918336,21.8,82.0,23.85,9.17,35.53,345.11,299.45,True,True,True,BULLISH TREND,False,47.97,NEUTRAL,5,The difference between on-prem AI vs. data centers | Anthropic releases new Claude Opus 4.8 AI model | Google engineer arrested for Polymarket insider trading,28.88,26.17,27921750016.0,20.026,38.88,37.92,83.94,BUY SIGNAL
GOOGL,https://www.tradingview.com/chart/?symbol=GOOGL,Alphabet Inc.,Communication Services,382.5,4634156990464,21.8,82.0,24.88,9.3,36.15,347.62,299.71,True,True,True,BULLISH TREND,False,47.97,NEUTRAL,5,The difference between on-prem AI vs. data centers | Anthropic releases new Claude Opus 4.8 AI model | Google engineer arrested for Polymarket insider trading,29.18,26.4,27921750016.0,20.026,38.88,37.92,83.94,BUY SIGNAL
CF,https://www.tradingview.com/chart/?symbol=CF,"CF Industries Holdings, Inc.",Basic Materials,111.88,17188042752,19.4,115.1,7.71,-11.39,46.99,123.51,96.43,False,True,True,BUY THE DIP,False,61.16,POSITIVE,5,Is CF Industries (CF) Outperforming Other Basic Materials Stocks This Year? | BASF & Arva Team Up to Help Growers Receive Benefits of 45Z Credit | What Makes CF Industries Stock a Solid Investment Option Now?,10.08,10.08,1076375040.0,43.847,27.3,23.73,83.14,BUY SIGNAL
GEV,https://www.tradingview.com/chart/?symbol=GEV,GE Vernova Inc.,Industrials,962.935,258759884800,16.3,1816.5,9.34,-9.42,38.18,1000.87,747.73,False,True,True,BUY THE DIP,False,69.18,POSITIVE,5,GE Vernova vs. Constellation Energy: Which AI Power Stock Wins? | GE Vernova (GEV) Stock Sinks As Market Gains: What You Should Know | Analysts Name Best Picks In Industrials. One Is Topping A Buy Point Today.,28.11,39.28,9315624960.0,24.925,75.71,23.81,82.93,BUY SIGNAL
AFL,https://www.tradingview.com/chart/?symbol=AFL,Aflac Incorporated,Financial Services,113.24,57637449728,27.9,3860.0,0.42,-2.05,52.54,112.57,109.69,True,True,True,BULLISH TREND,False,58.02,NEUTRAL,5,Why Is Aflac (AFL) Down 0.9% Since Last Earnings Report? | A Fresh Look At Aflac (AFL) Valuation As Investor Interest Picks Up | Morgan Stanley Lifts Aflac (AFL) PT to $125 on Solid Insurance Trends,12.94,14.89,4923125248.0,48.276,16.47,25.6,82.74,BUY SIGNAL
AMZN,https://www.tradingview.com/chart/?symbol=AMZN,"Amazon.com, Inc.",Consumer Cyclical,270.99,2914854109184,16.6,74.8,30.04,3.02,48.22,246.68,231.52,True,True,True,BULLISH TREND,False,64.82,POSITIVE,5,"Best credit cards for shopping on Amazon (June 2026) | Snowflake stock soars on growing enterprise AI demand, AWS partnership | How to play the ETF market without touching tech: Chart of the Day",31.29,27.48,9806624768.0,53.3,24.29,12.22,82.39,BUY SIGNAL
WST,https://www.tradingview.com/chart/?symbol=WST,"West Pharmaceutical Services, Inc.",Healthcare,319.95,22603698176,21.0,56.1,27.44,8.33,44.82,283.88,265.78,True,True,True,BULLISH TREND,False,52.21,NEUTRAL,5,"Align Technology (ALGN) Down 1.6% Since Last Earnings Report: Can It Rebound? | HealthEquity Stock Gains as Q1 Earnings Top Estimates, Revenues Up Y/Y | Natera to Launch Enhanced Panorama NIPT for Low Fetal Fractions",42.83,33.49,275662496.0,10.734,19.13,16.85,82.13,BUY SIGNAL
VRT,https://www.tradingview.com/chart/?symbol=VRT,Vertiv Holdings Co,Industrials,312.95,120206852096,30.1,135.7,21.45,2.21,39.17,307.31,211.21,True,True,True,BULLISH TREND,False,64.17,POSITIVE,5,2 Large-Cap Stocks Worth Your Attention and 1 That Underwhelm | Is Vertiv Holdings Co (VRT) Still Attractive After Its 190% One Year Surge? | Vertiv (VRT) Gets Higher Price Target from Oppenheimer after Investor Conference,78.43,35.41,1964749952.0,76.913,45.1,14.37,81.48,BUY SIGNAL
