Ticker,Chart Link,Company,Sector,Price,Market Cap,Revenue Growth %,EPS Growth %,3M Momentum %,Pullback 1M %,RSI,MA50,MA200,Above MA50,Above MA200,MA50 > MA200,Entry Setup,High Conviction Dip Buy,News Sentiment Score,News Sentiment Label,News Headlines Count,Top News Headlines,P/E,Forward P/E,Free Cash Flow,Debt to Equity,ROE %,Profit Margin %,Score,Signal
WDC,https://www.tradingview.com/chart/?symbol=WDC,Western Digital Corporation,Technology,561.08,193394262016,45.5,482.9,107.85,29.13,62.54,403.06,232.83,True,True,True,BULLISH TREND,False,56.37,NEUTRAL,5,"The Zacks Analyst Blog Highlights JPMorgan Chase, GE Aerospace, Western Digital, Syntec Optics and Investors Title | Is Western Digital (WDC) One of the Best Future Tech Stocks to Buy According to Billionaires? | Here’s What Evercore Now Says About Western Digital Corp (WDC) Stock",33.54,31.86,2075000064.0,17.81,85.92,55.29,89.71,BUY SIGNAL
NVDA,https://www.tradingview.com/chart/?symbol=NVDA,NVIDIA Corporation,Technology,221.69,5369553223680,85.2,214.5,21.49,11.08,51.86,200.21,187.84,True,True,True,BULLISH TREND,False,58.63,NEUTRAL,5,"Stock market today: Dow, S&P 500, Nasdaq waver as oil surges | Strategy sells $2.5M in bitcoin, Berkshire to acquire Taylor Morrison | Nvidia debuts RTX Spark processor for Windows laptops, taking aim at Intel, AMD",34.0,17.51,46335873024.0,6.555,114.29,62.97,87.79,BUY SIGNAL
CF,https://www.tradingview.com/chart/?symbol=CF,"CF Industries Holdings, Inc.",Basic Materials,114.575,17602074624,19.4,115.1,10.3,-7.37,37.22,123.31,96.58,False,True,True,BUY THE DIP,False,61.88,POSITIVE,5,DOW Launches DOWSIL TC-3120 Thermal Gel for Advanced Electronics | Is CF Industries (CF) Outperforming Other Basic Materials Stocks This Year? | BASF & Arva Team Up to Help Growers Receive Benefits of 45Z Credit,10.32,10.32,1076375040.0,43.847,27.3,23.73,86.0,BUY SIGNAL
GOOG,https://www.tradingview.com/chart/?symbol=GOOG,Alphabet Inc.,Communication Services,372.07,4507793096704,21.8,82.0,21.53,-2.58,37.47,346.38,300.29,True,True,True,BULLISH TREND,False,56.69,NEUTRAL,5,"Exclusive-EU cloud rules to curb Big Tech's access to strategic tenders, draft document shows | Prediction: Broadcom's June 3 Earnings Report Will Matter More Than Any ""Magnificent Seven"" Stock This Quarter | ChatGPT Stock Portfolio: Trimming Nebius Group (NBIS) After a ‘Monster Run’",28.4,25.68,27921750016.0,20.026,38.88,37.92,84.64,BUY SIGNAL
GOOGL,https://www.tradingview.com/chart/?symbol=GOOGL,Alphabet Inc.,Communication Services,376.08,4556375719936,21.8,82.0,22.78,-2.27,39.59,348.95,300.57,True,True,True,BULLISH TREND,False,54.67,NEUTRAL,5,"Meta, Alphabet, Amazon, and Microsoft are getting hooked on debt to fuel AI boom | Exclusive-EU cloud rules to curb Big Tech's access to strategic tenders, draft document shows | Prediction: Broadcom's June 3 Earnings Report Will Matter More Than Any ""Magnificent Seven"" Stock This Quarter",28.66,25.96,27921750016.0,20.026,38.88,37.92,84.47,BUY SIGNAL
VRT,https://www.tradingview.com/chart/?symbol=VRT,Vertiv Holdings Co,Industrials,324.25,124547276800,30.1,135.7,25.83,-1.29,29.32,308.46,212.16,True,True,True,BULLISH TREND,False,69.17,POSITIVE,5,Vertiv Rides on Strong Operating Margin Expansion: Will it Persist? | Does MOD's Q4 Strength and $4B AI Data Center Deal Make It a Buy? | The Smarter Way to Invest in AI Without Taking Extreme Risk,81.47,36.69,1964749952.0,76.913,45.1,14.37,83.98,BUY SIGNAL
KEYS,https://www.tradingview.com/chart/?symbol=KEYS,"Keysight Technologies, Inc.",Technology,328.33,56058568704,31.5,35.6,4.81,-6.17,26.92,329.76,234.77,False,True,True,BUY THE DIP,False,72.32,POSITIVE,5,Best Momentum Stocks to Buy for June 1st | Keysight Stock Rises 113.2% in the Past Year: How to Play the Stock | VIAV's NSE Business Remains Robust: Time to Stay Bullish?,52.7,27.69,1143250048.0,43.579,18.17,17.31,82.14,BUY SIGNAL
GEV,https://www.tradingview.com/chart/?symbol=GEV,GE Vernova Inc.,Industrials,959.65,257877147648,16.3,1816.5,8.97,-11.43,30.89,1002.62,749.38,False,True,True,BUY THE DIP,False,56.79,NEUTRAL,5,Jim Cramer Responds to Investor With 60% of Portfolio in NVIDIA | MIT bullish on its Initiative for New Manufacturing at the one-year mark | GE Vernova CEO sends rattling message on data centers,28.08,39.15,9315624960.0,24.925,75.71,23.81,81.94,BUY SIGNAL
AMZN,https://www.tradingview.com/chart/?symbol=AMZN,"Amazon.com, Inc.",Consumer Cyclical,261.93,2817771175936,16.6,74.8,25.69,-1.18,43.31,247.73,231.71,True,True,True,BULLISH TREND,False,57.73,NEUTRAL,5,"Meta, Alphabet, Amazon, and Microsoft are getting hooked on debt to fuel AI boom | Blue Origin Setback Tests Amazon Kuiper Ambitions And Airline Connectivity Plans | Exclusive-EU cloud rules to curb Big Tech's access to strategic tenders, draft document shows",30.64,26.56,9806624768.0,53.3,24.29,12.22,81.82,BUY SIGNAL
ROST,https://www.tradingview.com/chart/?symbol=ROST,"Ross Stores, Inc.",Consumer Cyclical,224.07,72474304512,20.6,37.4,11.0,-1.63,58.28,221.76,185.13,True,True,True,BULLISH TREND,False,55.11,NEUTRAL,5,"The Zacks Analyst Blog Highlights Archer-Daniels-Midland, Casey's General Stores, Nucor, Ross Stores and Imperial Oil | Assessing Ross Stores (ROST) Valuation After Strong Recent Shareholder Returns | MarketBeat Week in Review – 05/25 - 05/29",31.29,26.16,2044547840.0,74.911,38.98,9.74,81.16,BUY SIGNAL
LRCX,https://www.tradingview.com/chart/?symbol=LRCX,Lam Research Corporation,Technology,317.49,397043761152,23.8,40.8,37.61,23.12,61.01,265.38,193.67,True,True,True,BULLISH TREND,False,55.42,NEUTRAL,5,3 Market-Beating Stocks on Our Watchlist | The Semiconductor Play Nobody Owns Just Lapped Wall Street’s Biggest Names | Lam Research CEO Sees AI Fueling $140 Billion Chip Equipment Boom,60.13,39.97,4352341504.0,35.282,66.76,30.94,81.13,BUY SIGNAL
AMD,https://www.tradingview.com/chart/?symbol=AMD,"Advanced Micro Devices, Inc.",Technology,508.895,829804445696,37.8,91.2,156.22,43.56,63.68,334.22,239.2,True,True,True,BULLISH TREND,False,58.63,NEUTRAL,5,"Microsoft, Dell, and HP stocks rise as Nvidia announces new AI chip for personal computers | Nvidia debuts RTX Spark processor for Windows laptops, taking aim at Intel, AMD | Taiwan Semiconductor Manufacturing (TSM): One of the Best Stocks According to AI",170.2,38.92,7173374976.0,6.005,8.06,13.37,80.64,BUY SIGNAL
FSLR,https://www.tradingview.com/chart/?symbol=FSLR,"First Solar, Inc.",Technology,297.37,31953405952,23.6,65.1,48.79,47.29,76.02,214.8,228.21,True,True,False,WATCH - OVERBOUGHT,False,60.34,POSITIVE,5,MIT bullish on its Initiative for New Manufacturing at the one-year mark | GLJ Research Upgrades First Solar (FSLR) to Buy | Assessing First Solar (FSLR) Valuation After A Powerful Multi Period Share Price Surge,19.2,12.69,1147664768.0,5.943,18.44,30.73,80.53,BUY SIGNAL
AVGO,https://www.tradingview.com/chart/?symbol=AVGO,Broadcom Inc.,Technology,461.63,2185664921600,29.5,31.6,45.1,10.59,63.67,388.52,352.16,True,True,True,BULLISH TREND,False,62.81,POSITIVE,5,"Jobs report, retail earnings, AI in focus next week | Broadcom Inc. (AVGO): One of the Premier Stocks to Buy Right Now According to AI | Taiwan Semiconductor Manufacturing (TSM): One of the Best Stocks According to AI",89.81,25.03,25503750144.0,82.704,33.37,36.57,80.47,BUY SIGNAL
JBL,https://www.tradingview.com/chart/?symbol=JBL,Jabil Inc.,Technology,357.95,37764665344,23.1,96.2,37.08,6.09,46.81,321.74,250.03,True,True,True,BULLISH TREND,False,68.33,POSITIVE,5,Assessing Whether Jabil (JBL) Is Overvalued After Its Strong Recent Share Price Performance | ANET Capitalizes on AI Infrastructure Spending: More Upside Ahead? | Is Merck & Co. Stock Outperforming the S&P 500?,48.11,24.53,1203750016.0,328.91,59.7,2.48,80.42,BUY SIGNAL
CPAY,https://www.tradingview.com/chart/?symbol=CPAY,"Corpay, Inc.",Technology,362.2174,23675226112,25.4,49.1,9.1,18.19,65.98,319.33,310.21,True,True,True,BULLISH TREND,False,57.43,NEUTRAL,5,Diversified Financial Services Stocks Q1 In Review: Corpay (NYSE:CPAY) Vs Peers | Do Wall Street Analysts Like Corpay Stock? | MarketBeat Week in Review – 05/18 - 05/22,21.66,11.83,2095142784.0,271.343,32.12,24.6,80.29,BUY SIGNAL
WST,https://www.tradingview.com/chart/?symbol=WST,"West Pharmaceutical Services, Inc.",Healthcare,310.44,21931839488,21.0,56.1,23.65,4.32,40.94,285.34,266.12,True,True,True,BULLISH TREND,False,53.49,NEUTRAL,5,"PacBio Expands HiFi Sequencing Reach With New SPRQ-Nx Technology | Align Technology (ALGN) Down 1.6% Since Last Earnings Report: Can It Rebound? | HealthEquity Stock Gains as Q1 Earnings Top Estimates, Revenues Up Y/Y",41.45,32.5,275662496.0,10.734,19.13,16.85,80.13,BUY SIGNAL
MPWR,https://www.tradingview.com/chart/?symbol=MPWR,"Monolithic Power Systems, Inc.",Technology,1540.72,75695570944,26.1,39.5,35.12,-4.56,40.56,1429.13,1095.5,True,True,True,BULLISH TREND,False,61.04,POSITIVE,5,1 Cash-Producing Stock with Exciting Potential and 2 We Avoid | Are You Looking for a Top Momentum Pick? Why Monolithic Power (MPWR) is a Great Choice | MPWR Gains From AI Infrastructure Spending: Is the Rally Sustainable?,110.53,51.09,491719136.0,0.543,19.57,22.98,80.08,BUY SIGNAL
NXPI,https://www.tradingview.com/chart/?symbol=NXPI,NXP Semiconductors N.V.,Technology,313.41,79126962176,12.2,130.7,40.17,6.75,53.47,251.98,227.62,True,True,True,BULLISH TREND,False,56.12,NEUTRAL,5,"NXP Semiconductors Insiders Sell US$4.0m Of Stock, Possibly Signalling Caution | NXP Semiconductors Turns More Optimistic as Auto Demand and Data Center Sales Improve | AI Bubble Debate Gets Real as Chip Stocks Rally Turns Historic",29.91,17.78,2727124992.0,103.991,25.81,21.03,79.94,BUY SIGNAL
STX,https://www.tradingview.com/chart/?symbol=STX,Seagate Technology Holdings plc,Technology,928.59,208216801280,44.1,108.3,145.1,37.85,65.02,626.33,370.82,True,True,True,BULLISH TREND,False,56.81,NEUTRAL,5,Natera And 2 Other Companies That May Be Trading Below Their Estimated Value | Seagate Technology (STX): Best Future Tech Stocks to Buy According to Billionaires | Seagate Technology Holdings plc (STX): Leopold Aschenbrenner Sells Stake,87.93,35.11,1610000000.0,381.553,1787.97,21.6,79.74,BUY SIGNAL
AMAT,https://www.tradingview.com/chart/?symbol=AMAT,"Applied Materials, Inc.",Technology,460.285,365447610368,11.4,33.5,23.83,16.82,57.03,398.89,293.22,True,True,True,BULLISH TREND,False,64.67,POSITIVE,5,"Is It Worth Investing in Applied Materials (AMAT) Based on Wall Street's Bullish Views? | Applied Materials, Inc. (AMAT) Is a Trending Stock: Facts to Know Before Betting on It | Applied Materials (AMAT) – Among the 10 Best Long-Term Dividend Stocks to Invest In According to Billionaires",43.34,28.47,3040375040.0,30.399,39.69,29.31,79.52,BUY SIGNAL
MU,https://www.tradingview.com/chart/?symbol=MU,"Micron Technology, Inc.",Technology,1042.1099,1175222747136,196.3,756.0,152.63,101.51,71.26,569.5,343.19,True,True,True,WATCH - OVERBOUGHT,False,45.06,NEUTRAL,5,"Are AI stocks getting too expensive? | Micron Stock Smashes $1,000 Threshold After Major Wall Street Upgrade | Chip Stocks Soar; Bitcoin Price Falters",49.23,9.91,2893499904.0,14.902,39.82,41.49,78.85,BUY SIGNAL
