Ticker,Chart Link,Company,Sector,Price,Market Cap,Revenue Growth %,EPS Growth %,3M Momentum %,Pullback 1M %,RSI,MA50,MA200,Above MA50,Above MA200,MA50 > MA200,Entry Setup,High Conviction Dip Buy,News Sentiment Score,News Sentiment Label,News Headlines Count,Top News Headlines,P/E,Forward P/E,Free Cash Flow,Debt to Equity,ROE %,Profit Margin %,Score,Signal
NVDA,https://www.tradingview.com/chart/?symbol=NVDA,NVIDIA Corporation,Technology,225.445,5460503560192,85.2,214.5,23.56,13.6,53.71,201.32,188.07,True,True,True,BULLISH TREND,False,60.0,POSITIVE,5,"Marvell stock among the gainers in latest AI trade upswing | Why a massive Nvidia stock rally may be just getting started | Top market stories to watch Tuesday, June 2",34.52,17.81,46335873024.0,6.555,114.29,62.97,87.9,BUY SIGNAL
CF,https://www.tradingview.com/chart/?symbol=CF,"CF Industries Holdings, Inc.",Basic Materials,113.63,17456893952,19.4,115.1,9.39,-7.01,22.9,123.07,96.72,False,True,True,BUY THE DIP,False,59.85,NEUTRAL,5,DOW and Univar Partner to Grow Accessibility of Low-Carbon Products | Can CF Industries' Strong Cash Flow Drive More Growth and Returns? | Is CF Industries (CF) Quietly Reframing Its Narrative Around Nitrogen Tightness and Low-Carbon Ammonia?,10.24,10.24,1076375040.0,43.847,27.3,23.73,85.84,BUY SIGNAL
GOOG,https://www.tradingview.com/chart/?symbol=GOOG,Alphabet Inc.,Communication Services,364.615,4417472430080,21.8,82.0,19.1,-4.85,34.79,347.71,301.09,True,True,True,BULLISH TREND,False,54.56,NEUTRAL,5,"Stock market today: Dow, S&P 500, Nasdaq build on records as US-Iran tensions weigh on AI optimism | Stock Market Today: S&P 500 Hits A New High; This Power Stock Gets A Jolt (Live Coverage) | Google and Voltus strike 100 MW virtual power plant deal in PJM",27.81,25.15,27921750016.0,20.026,38.88,37.92,84.46,BUY SIGNAL
GOOGL,https://www.tradingview.com/chart/?symbol=GOOGL,Alphabet Inc.,Communication Services,367.94,4457756622848,21.8,82.0,20.12,-4.6,35.56,350.3,301.4,True,True,True,BULLISH TREND,False,54.56,NEUTRAL,5,"Stock market today: Dow, S&P 500, Nasdaq build on records as US-Iran tensions weigh on AI optimism | AI is carrying the S&P 500 rally: Chart of the Day | Stock Market Today: S&P 500 Hits A New High; This Power Stock Gets A Jolt (Live Coverage)",28.09,25.38,27921750016.0,20.026,38.88,37.92,84.46,BUY SIGNAL
GEV,https://www.tradingview.com/chart/?symbol=GEV,GE Vernova Inc.,Industrials,963.485,258907684864,16.3,1816.5,9.41,-9.36,32.93,1004.69,751.04,False,True,True,BUY THE DIP,False,73.73,POSITIVE,5,Watch These 5 Non-Tech Stocks Thriving in 2026 on AI Data Center Boom | Energy Transition Today - Innovative Solar Tracker Tackles Challenging Terrains Efficiently | 2 Industrials Stocks with Competitive Advantages and 1 Facing Challenges,28.16,39.31,9315624960.0,24.925,75.71,23.81,83.3,BUY SIGNAL
WDC,https://www.tradingview.com/chart/?symbol=WDC,Western Digital Corporation,Technology,564.275,194495528960,45.5,482.9,109.03,30.76,74.14,408.19,235.2,True,True,True,WATCH - OVERBOUGHT,False,65.21,POSITIVE,5,3 Storage Devices Stocks to Buy as the Industry Gains Momentum | Why Sandisk Corporation Is My Favorite Stock Idea Right Now | 3 High Growth Tech Stocks To Watch In The US Market,33.77,32.04,2075000064.0,17.81,85.92,55.29,83.22,BUY SIGNAL
AFL,https://www.tradingview.com/chart/?symbol=AFL,Aflac Incorporated,Financial Services,113.72,57881763840,27.9,3860.0,0.85,1.27,42.74,112.83,109.78,True,True,True,BULLISH TREND,False,60.52,POSITIVE,5,"Piper Sandler Raises Aflac (AFL) Price Target, Favors Insurance Carriers over Brokers | Why Is Aflac (AFL) Down 0.9% Since Last Earnings Report? | A Fresh Look At Aflac (AFL) Valuation As Investor Interest Picks Up",13.01,14.96,4923125248.0,48.276,16.47,25.6,82.94,BUY SIGNAL
EOG,https://www.tradingview.com/chart/?symbol=EOG,"EOG Resources, Inc.",Energy,138.51,73774374912,15.6,39.6,8.5,-0.32,57.48,137.51,118.27,True,True,True,BULLISH TREND,False,55.27,NEUTRAL,5,The 2 Signals That Will Determine XLE’s Performance Through Year-End | Dividend Stocks To Consider In May 2026 | Why ExxonMobil's Strong Balance Sheet Matters for Investors,13.63,9.45,2864250112.0,26.873,18.2,23.32,82.32,BUY SIGNAL
VRT,https://www.tradingview.com/chart/?symbol=VRT,Vertiv Holdings Co,Industrials,335.8219,128992149504,30.1,135.7,30.32,2.29,36.55,310.05,213.17,True,True,True,BULLISH TREND,False,44.55,NEUTRAL,5,The Boring Sector Quietly Powering the Entire AI Revolution | Beyond the AI Boom: 3 Forgotten Sectors to Buy Amid Historic Market Disconnect | Is Trending Stock Vertiv Holdings Co. (VRT) a Buy Now?,84.38,38.0,1964749952.0,76.913,45.1,14.37,82.01,BUY SIGNAL
ROST,https://www.tradingview.com/chart/?symbol=ROST,"Ross Stores, Inc.",Consumer Cyclical,223.26,72212316160,20.6,37.4,10.6,-2.44,55.07,222.0,185.51,True,True,True,BULLISH TREND,False,59.69,NEUTRAL,5,"The Zacks Analyst Blog Highlights Microchip, Ross Stores, MasTec, Arrow and Littelfuse | Softline Retailers Likely to Benefit From US Data Center Boom, UBS Says | The Zacks Analyst Blog Highlights Archer-Daniels-Midland, Casey's General Stores, Nucor, Ross Stores and Imperial Oil",31.14,26.07,2044547840.0,74.911,38.98,9.74,81.53,BUY SIGNAL
KEYS,https://www.tradingview.com/chart/?symbol=KEYS,"Keysight Technologies, Inc.",Technology,343.58,58662330368,31.5,35.6,9.68,-2.51,39.92,331.11,235.67,True,True,True,BULLISH TREND,False,59.77,NEUTRAL,5,The AI Double-Tap That Lit Up Cadence | Is Keysight Technologies (KEYS) Outperforming Other Computer and Technology Stocks This Year? | How A Quiet Analyst Tape Is Shaping The Keysight Technologies (KEYS) Investment Narrative,55.42,28.98,1143250048.0,43.579,18.17,17.31,81.53,BUY SIGNAL
