Ticker,Chart Link,Company,Sector,Price,Market Cap,Revenue Growth %,EPS Growth %,3M Momentum %,Pullback 1M %,RSI,MA50,MA200,Above MA50,Above MA200,MA50 > MA200,Entry Setup,High Conviction Dip Buy,News Sentiment Score,News Sentiment Label,News Headlines Count,Top News Headlines,P/E,Forward P/E,Free Cash Flow,Debt to Equity,ROE %,Profit Margin %,Score,Signal
NVDA,https://www.tradingview.com/chart/?symbol=NVDA,NVIDIA Corporation,Technology,218.16,5284053385216,85.2,214.5,19.17,11.0,35.27,202.91,188.41,True,True,True,BULLISH TREND,False,68.52,POSITIVE,5,Broadcom's sell-off just entered megacap history | Is OpenAI coming for Tesla's robotics business? | NVIDIA (NVDA): The Most Promising Stock to Buy Right Now,33.41,17.27,46335873024.0,6.555,114.29,62.97,88.58,BUY SIGNAL
AMZN,https://www.tradingview.com/chart/?symbol=AMZN,"Amazon.com, Inc.",Consumer Cyclical,253.72,2729293905920,16.6,74.8,17.02,-7.25,38.36,250.47,232.04,True,True,True,HIGH CONVICTION DIP BUY,True,60.08,POSITIVE,5,Alphabet and Nvidia reveal a surprising truth about the 'Magnificent 7' stocks | PINS Stock Jumps On $4B Cloud Deal With Amazon | Progyny (PGNY) Authorizes $200M Share Repurchase Program,32.12,25.72,9806624768.0,53.3,24.29,12.22,88.51,BUY SIGNAL
VRT,https://www.tradingview.com/chart/?symbol=VRT,Vertiv Holdings Co,Industrials,320.37,123056930816,30.1,135.7,27.53,-6.06,26.74,312.52,215.08,True,True,True,BUY THE DIP,False,55.8,NEUTRAL,5,Vertiv Targets AI Data Center Water Constraints With PurgeRite NearZero Service | Vertiv Soars 33% in Three Months: Should Investors Buy VRT Stock? | Can AI Data Center Demand Accelerate nVent Electric's Revenue Growth?,80.49,36.25,1964749952.0,76.913,45.1,14.37,85.31,BUY SIGNAL
CF,https://www.tradingview.com/chart/?symbol=CF,"CF Industries Holdings, Inc.",Basic Materials,117.93,18117500928,19.4,115.1,13.09,-7.52,41.55,122.84,97.05,False,True,True,BUY THE DIP,False,50.0,NEUTRAL,5,ATI Prices $450 Million Senior Notes Offering Due in 2033 | CF Industries Holdings (CF) Gained From The Strait Of Hormuz Closure | Is CF Stock a Screaming Buy After a 50% Rally in 6 Months?,10.62,10.2,1076375040.0,43.847,27.3,23.73,85.05,BUY SIGNAL
GOOGL,https://www.tradingview.com/chart/?symbol=GOOGL,Alphabet Inc.,Communication Services,371.46,4500039401472,21.8,82.0,22.62,-4.38,29.35,352.93,302.99,True,True,True,BULLISH TREND,False,61.81,POSITIVE,5,Alphabet and Nvidia reveal a surprising truth about the 'Magnificent 7' stocks | Is OpenAI coming for Tesla's robotics business? | Former School of Rock CEO's guide to overcoming midlife burnout,28.35,25.69,27921750016.0,20.026,38.88,37.92,85.04,BUY SIGNAL
GOOG,https://www.tradingview.com/chart/?symbol=GOOG,Alphabet Inc.,Communication Services,368.0,4458846617600,21.8,82.0,21.37,-4.23,28.36,350.29,302.64,True,True,True,BULLISH TREND,False,61.81,POSITIVE,5,Alphabet and Nvidia reveal a surprising truth about the 'Magnificent 7' stocks | Is OpenAI coming for Tesla's robotics business? | Former School of Rock CEO's guide to overcoming midlife burnout,28.05,25.45,27921750016.0,20.026,38.88,37.92,85.04,BUY SIGNAL
INCY,https://www.tradingview.com/chart/?symbol=INCY,Incyte Corporation,Healthcare,101.185,20214958080,20.9,83.8,2.35,3.81,59.08,96.31,95.92,True,True,True,BULLISH TREND,False,58.81,NEUTRAL,5,"Centene, Deckers and 14 Other ‘Dividend Hopefuls’ | Why Is Agios Pharmaceuticals (AGIO) Up 8.6% Since Last Earnings Report? | JPMorgan says large-cap biotech is back as profits and pipelines fuel upside",14.29,11.16,558867008.0,0.701,30.82,26.71,84.3,BUY SIGNAL
TER,https://www.tradingview.com/chart/?symbol=TER,"Teradyne, Inc.",Technology,408.445,63938863104,87.0,314.8,33.88,14.42,64.58,355.81,239.4,True,True,True,BULLISH TREND,False,51.25,NEUTRAL,5,Q1 Earnings Highlights: Teradyne (NASDAQ:TER) Vs The Rest Of The Semiconductor Manufacturing Stocks | Vertiv Soars 33% in Three Months: Should Investors Buy VRT Stock? | 1 Large-Cap Stock Worth Your Attention and 2 We Avoid,75.5,42.56,298311264.0,2.621,28.75,22.55,83.05,BUY SIGNAL
AFL,https://www.tradingview.com/chart/?symbol=AFL,Aflac Incorporated,Financial Services,115.57,58823385088,27.9,3860.0,3.28,1.49,49.15,113.19,109.89,True,True,True,BULLISH TREND,False,60.52,POSITIVE,5,"Piper Sandler Raises Aflac (AFL) Price Target, Favors Insurance Carriers over Brokers | Why Is Aflac (AFL) Down 0.9% Since Last Earnings Report? | A Fresh Look At Aflac (AFL) Valuation As Investor Interest Picks Up",13.21,15.2,4923125248.0,48.276,16.47,25.6,82.94,BUY SIGNAL
EOG,https://www.tradingview.com/chart/?symbol=EOG,"EOG Resources, Inc.",Energy,140.88,75036712960,15.6,39.6,11.07,0.04,57.88,137.56,118.53,True,True,True,BULLISH TREND,False,58.0,NEUTRAL,5,Why Is EOG Resources (EOG) Up 5.1% Since Last Earnings Report? | EOG Resources Stock: Is EOG Underperforming the Energy Sector? | The 2 Signals That Will Determine XLE’s Performance Through Year-End,13.85,9.51,2864250112.0,26.873,18.2,23.32,82.54,BUY SIGNAL
APP,https://www.tradingview.com/chart/?symbol=APP,AppLovin Corporation,Communication Services,565.04,189819256832,59.0,113.1,17.03,18.18,67.08,469.48,539.36,True,True,False,BULLISH TREND,False,64.4,POSITIVE,5,"June 2026 Growth Stocks With High Insider Ownership | 8x8, BlackLine, and AppLovin Stocks Trade Down, What You Need To Know | AppLovin Slides 15% YTD: Is the Stock a Buying Opportunity?",49.26,25.77,3180097280.0,162.888,266.44,64.29,82.5,BUY SIGNAL
GEV,https://www.tradingview.com/chart/?symbol=GEV,GE Vernova Inc.,Industrials,960.39,258076000256,16.3,1816.5,14.23,-12.31,28.16,1007.36,754.44,False,True,True,BUY THE DIP,False,62.63,POSITIVE,5,GE Vernova to supply 28 wind turbines for Powerica’s Gujarat project | GE Vernova Wins 100 MW Wind Turbine Contract for Gujarat Project (GEV) | This Week In Energy Transition - SunPower's Strategic Share Move Fuels Financial Flexibility,28.04,39.18,9315624960.0,24.925,75.71,23.81,82.41,BUY SIGNAL
