Ticker,Chart Link,Company,Sector,Price,Market Cap,Revenue Growth %,EPS Growth %,3M Momentum %,Pullback 1M %,RSI,MA50,MA200,Above MA50,Above MA200,MA50 > MA200,Entry Setup,High Conviction Dip Buy,News Sentiment Score,News Sentiment Label,News Headlines Count,Top News Headlines,P/E,Forward P/E,Free Cash Flow,Debt to Equity,ROE %,Profit Margin %,Score,Signal
WDC,https://www.tradingview.com/chart/?symbol=WDC,Western Digital Corporation,Technology,525.93,181278670848,45.5,482.9,100.67,13.36,63.89,428.89,244.66,True,True,True,BULLISH TREND,False,48.84,NEUTRAL,5,"Up 981%, Is Western Digital Stock Still a Buy? | Seagate, Western Digital Stocks Climb As Analysts Hike Price Targets | SNDK's New Business Model Boosts Profitability: Time to Buy the Stock?",31.44,29.55,2075000064.0,17.81,85.92,55.29,89.11,BUY SIGNAL
KEYS,https://www.tradingview.com/chart/?symbol=KEYS,"Keysight Technologies, Inc.",Technology,333.82,57048289280,31.5,35.6,18.37,-5.98,46.64,335.08,239.22,False,True,True,BUY THE DIP,False,65.88,POSITIVE,5,Keysight Ties GlobalFoundries Photonics To ADS For Data Center Design | Synopsys' AI Strategy: Is it a Key Driver of Future Expansion? | Keysight vs. Sanmina: Which Electronics Stock Is a Better Buy Now?,53.84,28.16,1085750016.0,43.642,18.17,17.31,86.52,BUY SIGNAL
GOOGL,https://www.tradingview.com/chart/?symbol=GOOGL,Alphabet Inc.,Communication Services,361.57,4409200738304,21.8,82.0,18.02,-9.15,27.52,356.11,304.64,True,True,True,BUY THE DIP,False,46.49,NEUTRAL,5,"AI is 'not existential' to Apple as it is for rest of Silicon Valley | As Apple's WWDC conference kicks off, investors want to know if AI will save Siri | Jim Cramer Warns: AI Stocks Face 50% Crash Without Earnings Growth",27.56,25.0,27921750016.0,20.026,38.88,37.92,86.22,BUY SIGNAL
GOOG,https://www.tradingview.com/chart/?symbol=GOOG,Alphabet Inc.,Communication Services,358.74,4374810853376,21.8,82.0,17.23,-9.25,27.1,353.4,304.26,True,True,True,BUY THE DIP,False,46.49,NEUTRAL,5,"AI is 'not existential' to Apple as it is for rest of Silicon Valley | As Apple's WWDC conference kicks off, investors want to know if AI will save Siri | Jim Cramer Warns: AI Stocks Face 50% Crash Without Earnings Growth",27.41,24.81,27921750016.0,20.026,38.88,37.92,86.22,BUY SIGNAL
FSLR,https://www.tradingview.com/chart/?symbol=FSLR,"First Solar, Inc.",Technology,281.43,30240598016,23.6,65.1,44.04,31.16,65.15,225.91,230.68,True,True,False,BULLISH TREND,False,40.3,NEUTRAL,5,First Solar (FSLR) Is Down 7.9% After Section 45X Windfall Meets Policy And Insider Uncertainty – Has The Bull Case Changed? | The Overlooked Fidelity Fund That’s Already Up 84% Over Twelve Months on a Forgotten Thesis | 2 Surging  Stocks to Own for Decades and 1 We Find Risky,18.17,12.01,1147664768.0,5.943,18.44,30.73,86.12,BUY SIGNAL
MU,https://www.tradingview.com/chart/?symbol=MU,"Micron Technology, Inc.",Technology,948.32,1069452754944,196.3,756.0,143.69,46.66,68.28,629.21,364.87,True,True,True,BULLISH TREND,False,45.76,NEUTRAL,5,Marvell stock surges on S&P 500 inclusion | Micron stock rebounds along with chip sector following broader market rout | Jim Cramer Warns: AI Stocks Face 50% Crash Without Earnings Growth,44.8,8.95,2893499904.0,14.902,39.82,41.49,86.11,BUY SIGNAL
NVDA,https://www.tradingview.com/chart/?symbol=NVDA,NVIDIA Corporation,Technology,208.155,5041722228736,85.2,214.5,14.1,-1.47,39.09,203.96,188.51,True,True,True,BULLISH TREND,False,58.05,NEUTRAL,5,"Synopsys CEO on AI outlook, Nvidia partnership | Tech stocks today: Chip stocks rebound after Nvidia's Jensen Huang says investors should be 'very happy' | Up 981%, Is Western Digital Stock Still a Buy?",31.93,16.41,46335873024.0,6.555,114.29,62.97,85.64,BUY SIGNAL
INCY,https://www.tradingview.com/chart/?symbol=INCY,Incyte Corporation,Healthcare,99.67,19912288256,20.9,83.8,2.65,1.94,60.65,96.66,96.07,True,True,True,BULLISH TREND,False,58.82,NEUTRAL,5,Incyte To Acquire Vega Therapeutics For Up To $2 Billion | Incyte to Buy Vega Therapeutics For Up to $2 Billion | Nan Fung Group Sells $4.3 Million in Oculis Shares As Lead Drug Stumbles,14.08,10.99,558867008.0,0.701,30.82,26.71,84.31,BUY SIGNAL
PWR,https://www.tradingview.com/chart/?symbol=PWR,"Quanta Services, Inc.",Industrials,689.39,103449968640,26.3,51.0,21.34,-8.2,39.53,668.53,510.57,True,True,True,HIGH CONVICTION DIP BUY,True,56.58,NEUTRAL,5,"The Zacks Analyst Blog Highlights Micron, Chevron and Quanta Services | Oppenheimer Upgrades Quanta Services (PWR) to Outperform | Here's Why Investors Should Hold ROL Stock in Their Portfolios Now",94.44,41.88,1037176768.0,69.121,13.53,3.67,83.98,BUY SIGNAL
TER,https://www.tradingview.com/chart/?symbol=TER,"Teradyne, Inc.",Technology,374.25,58585903104,87.0,314.8,26.3,5.73,62.71,358.01,241.95,True,True,True,BULLISH TREND,False,57.67,NEUTRAL,5,"Surging AI-Driven Test And Robotics Demand Could Be A Game Changer For Teradyne (TER) | Teradyne and Monolithic Power Systems Shares Plummet, What You Need To Know | Super Micro, Qualcomm Among Tech Stocks Getting Hammered Today",69.31,38.99,298311264.0,2.621,28.75,22.55,83.56,BUY SIGNAL
CIEN,https://www.tradingview.com/chart/?symbol=CIEN,Ciena Corporation,Technology,468.43,66307637248,39.5,2383.3,47.06,-13.05,42.07,518.64,296.12,False,True,True,BUY THE DIP,False,50.81,NEUTRAL,5,"3 chip stocks to buy after recent SOX pullback: Citi | Dow Jones Futures Fall, Techs Rise As Iran, Israel Exchange Fire; Market Rally Faces First Real Test | Quantum Computing Expands Into Secure Networks With New Acquisitions And Backlog",157.19,48.7,700927872.0,54.649,15.46,7.87,83.41,BUY SIGNAL
