Ticker,Chart Link,Company,Sector,Price,Market Cap,Revenue Growth %,EPS Growth %,3M Momentum %,Pullback 1M %,RSI,MA50,MA200,Above MA50,Above MA200,MA50 > MA200,Entry Setup,High Conviction Dip Buy,News Sentiment Score,News Sentiment Label,News Headlines Count,Top News Headlines,P/E,Forward P/E,Free Cash Flow,Debt to Equity,ROE %,Profit Margin %,Score,Signal
NVDA,https://www.tradingview.com/chart/?symbol=NVDA,NVIDIA Corporation,Technology,212.425,5145024790528,85.2,214.5,16.07,-9.78,48.47,207.41,189.19,True,True,True,HIGH CONVICTION DIP BUY,True,70.25,POSITIVE,5,"SpaceX just took Palantir's top spot with one of the most excessive valuation multiples in megacap tech | Why the biggest ""Magnificent 7"" stocks have one giant headwind coming right at them | The Best Vanguard ETF for Your Next $1,000 Investment",32.53,16.69,46335873024.0,6.555,114.29,62.97,97.32,BUY SIGNAL
GOOGL,https://www.tradingview.com/chart/?symbol=GOOGL,Alphabet Inc.,Communication Services,371.01,4524442910720,21.8,82.0,21.49,-7.44,38.66,363.57,308.38,True,True,True,HIGH CONVICTION DIP BUY,True,52.0,NEUTRAL,5,"Nvidia joins Wall Street's AI funding wave | 75% of Enterprise Customers Are Quietly Flocking to This Digital Monopoly: Here Is the 1 Unstoppable Stock I’m Loading Up on This June | If You Put $500 a Month into This Tech ETF Since 2016, You Could Retire Tomorrow",28.34,25.62,27921750016.0,20.026,38.88,37.92,92.86,BUY SIGNAL
GOOG,https://www.tradingview.com/chart/?symbol=GOOG,Alphabet Inc.,Communication Services,369.03,4500296826880,21.8,82.0,21.3,-7.03,40.14,360.78,307.94,True,True,True,HIGH CONVICTION DIP BUY,True,47.98,NEUTRAL,5,"Nvidia joins Wall Street's AI funding wave | 75% of Enterprise Customers Are Quietly Flocking to This Digital Monopoly: Here Is the 1 Unstoppable Stock I’m Loading Up on This June | If You Put $500 a Month into This Tech ETF Since 2016, You Could Retire Tomorrow",28.15,25.48,27921750016.0,20.026,38.88,37.92,92.54,BUY SIGNAL
WDC,https://www.tradingview.com/chart/?symbol=WDC,Western Digital Corporation,Technology,647.755,223269584896,45.5,482.9,126.38,32.46,67.05,456.08,256.45,True,True,True,BULLISH TREND,False,77.13,POSITIVE,5,"Stock Market Today, June 15: SpaceX Surges at Midday After Blockbuster IPO | Western Digital, Seagate Stocks Keep Soaring. Why They’re Morgan Stanley’s Top Picks. | HDD pricing ""clearly and meaningfully strengthening"", Morgan Stanley says",38.74,35.88,2075000064.0,17.81,85.92,55.29,91.37,BUY SIGNAL
FSLR,https://www.tradingview.com/chart/?symbol=FSLR,"First Solar, Inc.",Technology,268.01,28798576640,23.6,65.1,34.35,15.71,49.36,232.81,232.33,True,True,True,BULLISH TREND,False,62.31,POSITIVE,5,First Solar (FSLR) Stock Valuation Check After Strong Recent Share Price Gains | First Solar (FSLR) Stock Declines While Market Improves: Some Information for Investors | ARRAY Technologies Hits 100 GW Milestone as Solar Demand Surges,17.31,11.44,1147664768.0,5.943,18.44,30.73,87.88,BUY SIGNAL
MU,https://www.tradingview.com/chart/?symbol=MU,"Micron Technology, Inc.",Technology,1076.115,1213329047552,196.3,756.0,143.63,38.7,61.8,691.85,386.37,True,True,True,BULLISH TREND,False,66.72,POSITIVE,5,"Stock Market Today, June 15: SpaceX Surges at Midday After Blockbuster IPO | Micron, AMD Lead Chip Stocks Rally On U.S.-Iran Deal | Micron Technology to Benefit From Memory-Chip Upcycle With Room to Run, RBC Says",50.75,9.59,2893499904.0,14.902,39.82,41.49,87.79,BUY SIGNAL
INCY,https://www.tradingview.com/chart/?symbol=INCY,Incyte Corporation,Healthcare,102.53,20483663872,20.9,83.8,10.25,5.02,58.64,97.93,96.59,True,True,True,BULLISH TREND,False,60.82,POSITIVE,5,"MIRM, INCY Report Positive Rare Disease Data as FDA Begins NDA Review | Incyte Buys Vega To Add Late Stage Von Willebrand Disease Opportunity | Imviva Unveils Leukemia Data at EHA 2026 With 86% Response Rates",14.48,11.19,558867008.0,0.701,30.82,26.71,87.27,BUY SIGNAL
PWR,https://www.tradingview.com/chart/?symbol=PWR,"Quanta Services, Inc.",Industrials,726.41,109005185024,26.3,51.0,26.57,-6.88,46.57,682.77,518.39,True,True,True,HIGH CONVICTION DIP BUY,True,56.8,NEUTRAL,5,"Dow Jones Futures Rise, Oil Prices Dive As Trump Announces Iran Deal; SpaceX's Next Test | Oil’s 5.7% Weekly Drop Opens the Door for Jets, Materials, and Infrastructure ETFs | Quanta Services (PWR) Stock Valuation After Investor Day AI Growth Outlook And US$1b Buyback",99.64,44.13,1037176768.0,69.121,13.53,3.67,86.09,BUY SIGNAL
KEYS,https://www.tradingview.com/chart/?symbol=KEYS,"Keysight Technologies, Inc.",Technology,357.53,61100216320,31.5,35.6,25.04,-1.11,50.82,340.87,243.62,True,True,True,BULLISH TREND,False,58.63,NEUTRAL,5,What Makes Keysight Technologies (KEYS) a Compelling Bet in the AI Era? | Why Keysight (KEYS) Stock Is Trading Up Today | Best Momentum Stocks to Buy for June 12th,57.57,30.16,1085750016.0,43.642,18.17,17.31,85.64,BUY SIGNAL
UAL,https://www.tradingview.com/chart/?symbol=UAL,"United Airlines Holdings, Inc.",Industrials,121.1,39305392128,10.6,84.5,34.14,26.12,65.2,99.41,102.08,True,True,False,BULLISH TREND,False,70.08,POSITIVE,5,United Airlines Stock on Track For Record Close | Market Rallies On Peace Plan Hopes; These Stocks Set To Break Out | United and Other Airline Stocks Are Winners—but Not the Winners—of the Iran Deal,10.83,8.52,1647000064.0,195.081,25.73,6.06,85.46,BUY SIGNAL
GEV,https://www.tradingview.com/chart/?symbol=GEV,GE Vernova Inc.,Industrials,975.02,262007373824,16.3,1816.5,17.92,-10.59,36.67,1014.29,765.52,False,True,True,BUY THE DIP,False,71.11,POSITIVE,5,"Can GE Vernova's Services Business Drive More Stable Growth? | Barclays Says GE Vernova (GEV) Among Best Positioned for 800VDC Technology | Dow Jones Futures Signal Market Bounce, But Then What? Oracle Dives, SpaceX IPO On Launch Pad",28.48,39.78,9315624960.0,24.925,75.71,23.81,85.19,BUY SIGNAL
AFL,https://www.tradingview.com/chart/?symbol=AFL,Aflac Incorporated,Financial Services,117.61,59861712896,27.9,3860.0,8.35,1.57,52.21,114.43,110.27,True,True,True,BULLISH TREND,False,51.53,NEUTRAL,5,MarketBeat Week in Review – 06/08 - 06/12 | The “Duck Stock” Keeps Quietly Making Money for Shareholders | How Aflac (AFL) Investors Can Read A Steady Target And Evolving Company Story,13.44,15.47,4923125248.0,48.276,16.47,25.6,85.02,BUY SIGNAL
TER,https://www.tradingview.com/chart/?symbol=TER,"Teradyne, Inc.",Technology,428.59,67092402176,87.0,314.8,43.75,20.25,57.89,366.83,248.72,True,True,True,BULLISH TREND,False,70.88,POSITIVE,5,"These Are 5 Of The Best Stocks To Buy Or Watch Now | Why Rocket Lab stock tumbled on Nasdaq-100 news | KLA Corporation, Amkor, and Teradyne Shares Skyrocket, What You Need To Know",79.37,45.1,298311264.0,2.621,28.75,22.55,84.62,BUY SIGNAL
AVGO,https://www.tradingview.com/chart/?symbol=AVGO,Broadcom Inc.,Technology,393.05,1869966868480,47.9,85.4,21.22,-10.64,43.37,408.02,357.74,False,True,True,BUY THE DIP,False,54.11,NEUTRAL,5,Credo Technology Rides the AI Interconnect Upgrade Cycle | Is CRDO Stock Still Worth Buying After Its Massive Run Higher? | LITE vs. AVGO: Which AI Infrastructure Stock Is the Better Pick Now?,65.51,20.31,27212249088.0,74.018,37.28,38.85,83.08,BUY SIGNAL
WST,https://www.tradingview.com/chart/?symbol=WST,"West Pharmaceutical Services, Inc.",Healthcare,329.525,23280146432,21.0,56.1,37.23,9.77,61.34,300.87,270.07,True,True,True,BULLISH TREND,False,61.54,POSITIVE,5,QIAGEN Expands QIAcuity Gene Expression Portfolio to Drive dPCR Use | GEHC Expands Carilion Tie to Enhance Patient Care Across Virginia | Here's Why You Should Hold Stryker Stock in Your Portfolio for Now,44.17,34.48,275662496.0,10.734,19.13,16.85,82.87,BUY SIGNAL
DELL,https://www.tradingview.com/chart/?symbol=DELL,Dell Technologies Inc.,Technology,409.675,265513631744,87.5,282.5,162.52,65.26,66.79,268.29,168.61,True,True,True,BULLISH TREND,False,60.52,POSITIVE,5,Wall Street Analysts Think Dell Technologies (DELL) Is a Good Investment: Is It? | Dell Technologies Inc. (DELL) Is a Trending Stock: Facts to Know Before Betting on It | Is AMD’s £2 Billion UK AI Bet Altering The Investment Case For Advanced Micro Devices (AMD)?,32.67,19.37,5434124800.0,,,6.28,82.54,BUY SIGNAL
ROST,https://www.tradingview.com/chart/?symbol=ROST,"Ross Stores, Inc.",Consumer Cyclical,237.72,76256083968,20.6,37.4,14.53,11.68,53.48,224.93,189.08,True,True,True,BULLISH TREND,False,62.39,POSITIVE,5,"Burlington Stores Is on a Hot Streak. The Stock Is Still Worth Checking Out. | Viking, Bloom Energy Lead Five Stocks Making Bullish Moves As Market Rebounds | TJX: Retail’s Apex Predator Feasts on Inflation",33.2,27.76,2047583488.0,74.911,38.98,9.74,81.74,BUY SIGNAL
AMZN,https://www.tradingview.com/chart/?symbol=AMZN,"Amazon.com, Inc.",Consumer Cyclical,246.125,2647593582592,16.6,74.8,16.27,-7.87,35.6,255.5,232.59,False,True,True,BUY THE DIP,False,52.24,NEUTRAL,5,"Stock Market Today: Dow Jumps As Trump Makes This Iran Move; AI Player, Airline Fly Past Entries (Live Coverage) | Update: US Equity Indexes Jump Following Weekend Agreement to End Iran War | If You Put $500 a Month into This Tech ETF Since 2016, You Could Retire Tomorrow",32.64,24.96,9806624768.0,53.3,24.29,12.22,81.68,BUY SIGNAL
NEM,https://www.tradingview.com/chart/?symbol=NEM,Newmont Corporation,Basic Materials,105.415,112536076288,45.8,78.6,-4.11,-9.17,42.71,110.5,101.58,False,True,True,BUY THE DIP,False,55.11,NEUTRAL,5,"Gold Jumps After US and Iran Reach Deal to Reopen Hormuz Strait | United, Delta and Southwest Rally as Iran Deal Lifts Travel Stocks | Newmont Stock Loses 9% in a Month: Should You Buy the Dip?",13.67,9.25,9804874752.0,15.762,25.83,33.87,81.66,BUY SIGNAL
