Ticker,Chart Link,Company,Sector,Price,Market Cap,Revenue Growth %,EPS Growth %,3M Momentum %,Pullback 1M %,RSI,MA50,MA200,Above MA50,Above MA200,MA50 > MA200,Entry Setup,High Conviction Dip Buy,News Sentiment Score,News Sentiment Label,News Headlines Count,Top News Headlines,P/E,Forward P/E,Free Cash Flow,Debt to Equity,ROE %,Profit Margin %,Score,Signal
GOOG,https://www.tradingview.com/chart/?symbol=GOOG,Alphabet Inc.,Communication Services,368.19,4492865568768,21.8,82.0,21.02,-6.33,39.5,362.16,308.71,True,True,True,HIGH CONVICTION DIP BUY,True,61.56,POSITIVE,5,"SpaceX rockets past Amazon, eyes Microsoft in sprint toward $3 trillion | Nvidia joins the AI funding wave as it plans a $20B bond sale: A closer look | Elon Musk could lose nearly $1 trillion and still be the world's richest person",28.08,25.43,27921750016.0,20.026,38.88,37.92,93.62,BUY SIGNAL
GOOGL,https://www.tradingview.com/chart/?symbol=GOOGL,Alphabet Inc.,Communication Services,370.205,4517453103104,21.8,82.0,21.23,-7.64,38.02,363.55,308.38,True,True,True,HIGH CONVICTION DIP BUY,True,61.56,POSITIVE,5,"SpaceX rockets past Amazon, eyes Microsoft in sprint toward $3 trillion | Nvidia joins the AI funding wave as it plans a $20B bond sale: A closer look | Elon Musk could lose nearly $1 trillion and still be the world's richest person",28.24,25.57,27921750016.0,20.026,38.88,37.92,93.62,BUY SIGNAL
FSLR,https://www.tradingview.com/chart/?symbol=FSLR,"First Solar, Inc.",Technology,267.43,28723357696,23.6,65.1,34.0,15.46,49.16,232.8,232.33,True,True,True,BULLISH TREND,False,62.31,POSITIVE,5,First Solar (FSLR) Stock Valuation Check After Strong Recent Share Price Gains | First Solar (FSLR) Stock Declines While Market Improves: Some Information for Investors | ARRAY Technologies Hits 100 GW Milestone as Solar Demand Surges,17.27,11.41,1147664768.0,5.943,18.44,30.73,87.88,BUY SIGNAL
NVDA,https://www.tradingview.com/chart/?symbol=NVDA,NVIDIA Corporation,Technology,208.935,5060614422528,85.2,214.5,14.17,-11.27,45.82,207.34,189.18,True,True,True,BUY THE DIP,False,54.51,NEUTRAL,5,"SpaceX rockets past Amazon, eyes Microsoft in sprint toward $3 trillion | How SpaceX's IPO made millions for JPMorgan, Goldman Sachs, & other big banks | Nvidia joins the AI funding wave as it plans a $20B bond sale: A closer look",32.05,16.42,46335873024.0,6.555,114.29,62.97,87.76,BUY SIGNAL
MU,https://www.tradingview.com/chart/?symbol=MU,"Micron Technology, Inc.",Technology,1042.0001,1175099015168,196.3,756.0,135.95,34.28,60.0,691.16,386.2,True,True,True,BULLISH TREND,False,50.49,NEUTRAL,5,"Oil and US gas prices retreat on US-Iran ceasefire | Chip stocks surge, oil slides closer to $80 on US-Iran deal, Fox to acquire Roku | Stocks to Watch: SpaceX, Qualcomm, Robinhood",49.1,9.16,2893499904.0,14.902,39.82,41.49,86.49,BUY SIGNAL
KEYS,https://www.tradingview.com/chart/?symbol=KEYS,"Keysight Technologies, Inc.",Technology,359.395,61418934272,31.5,35.6,25.69,2.98,55.67,342.19,244.58,True,True,True,BULLISH TREND,False,64.63,POSITIVE,5,Can Viavi's New TETRA Testing Upgrade Strengthen Its Growth Story? | What Makes Keysight Technologies (KEYS) a Compelling Bet in the AI Era? | How Is Keysight’s Stock Performance Compared to Other Technology Stocks?,57.87,30.31,1085750016.0,43.642,18.17,17.31,86.12,BUY SIGNAL
UAL,https://www.tradingview.com/chart/?symbol=UAL,"United Airlines Holdings, Inc.",Industrials,119.705,38852620288,10.6,84.5,32.57,24.67,64.2,99.39,102.07,True,True,False,BULLISH TREND,False,67.15,POSITIVE,5,"American Airlines and United Airlines Shares Skyrocket, What You Need To Know | Stock Market Today, June 15: American Airlines Group Jumps After Oil Prices Drop on U.S.-Iran Peace Agreement | United Airlines Stock Has Record Close",10.71,8.42,1647000064.0,195.081,25.73,6.06,85.22,BUY SIGNAL
AFL,https://www.tradingview.com/chart/?symbol=AFL,Aflac Incorporated,Financial Services,117.8,59958423552,27.9,3860.0,8.52,1.74,52.77,114.43,110.27,True,True,True,BULLISH TREND,False,51.53,NEUTRAL,5,MarketBeat Week in Review – 06/08 - 06/12 | The “Duck Stock” Keeps Quietly Making Money for Shareholders | How Aflac (AFL) Investors Can Read A Steady Target And Evolving Company Story,13.46,15.49,4923125248.0,48.276,16.47,25.6,85.02,BUY SIGNAL
INCY,https://www.tradingview.com/chart/?symbol=INCY,Incyte Corporation,Healthcare,100.27,20032155648,20.9,83.8,7.82,2.7,54.7,97.88,96.58,True,True,True,BULLISH TREND,False,66.39,POSITIVE,5,"MIRM, INCY Report Positive Rare Disease Data as FDA Begins NDA Review (Revised) | MIRM, INCY Report Positive Rare Disease Data as FDA Begins NDA Review | Incyte Buys Vega To Add Late Stage Von Willebrand Disease Opportunity",14.16,10.94,558867008.0,0.701,30.82,26.71,84.91,BUY SIGNAL
GEV,https://www.tradingview.com/chart/?symbol=GEV,GE Vernova Inc.,Industrials,1003.48,269655146496,16.3,1816.5,21.36,-7.98,41.33,1014.86,765.67,False,True,True,BUY THE DIP,False,53.93,NEUTRAL,5,This Restructured Energy Monopoly Is a No-Brainer Buy | This Week In Energy Transition - Norway Amplifies Hydropower with Statkraft's New Blåfjell Pump | Jefferies Trims Price Target on GE Vernova (GEV). Here is Why,29.28,40.94,9315624960.0,24.925,75.71,23.81,83.81,BUY SIGNAL
AVGO,https://www.tradingview.com/chart/?symbol=AVGO,Broadcom Inc.,Technology,379.395,1805073514496,47.9,85.4,17.02,-13.73,39.89,407.74,357.68,False,True,True,BUY THE DIP,False,62.6,POSITIVE,5,"Micron Stock Slips From Record High. Where It Goes Next. | Down More Than 20% From Its High, Is Broadcom Stock a Buy? | CRDO vs. AVGO: Which Data Center Connectivity Stock Is the Smart Buy?",62.92,19.61,27212249088.0,74.018,37.28,38.85,83.76,BUY SIGNAL
TER,https://www.tradingview.com/chart/?symbol=TER,"Teradyne, Inc.",Technology,427.53,66926469120,87.0,314.8,43.39,19.95,57.71,366.8,248.72,True,True,True,BULLISH TREND,False,53.82,NEUTRAL,5,"Why CoreWeave Stock Is ‘Woefully’ Undervalued | How Much Upside Can LRCX Stock's Growth Deliver? | Cathie Wood Buys $444 Million in SpaceX, Dumps Tesla and AMD",79.03,44.99,298311264.0,2.621,28.75,22.55,83.26,BUY SIGNAL
NEM,https://www.tradingview.com/chart/?symbol=NEM,Newmont Corporation,Basic Materials,108.47,115797450752,45.8,78.6,-1.33,-6.54,46.71,110.56,101.6,False,True,True,BUY THE DIP,False,70.45,POSITIVE,5,NEM or AEM: Which Is the Better Value Stock Right Now? | Is It Worth Investing in Newmont (NEM) Based on Wall Street's Bullish Views? | Newmont Corporation (NEM) is Attracting Investor Attention: Here is What You Should Know,14.07,9.52,9804874752.0,15.762,25.83,33.87,82.89,BUY SIGNAL
DELL,https://www.tradingview.com/chart/?symbol=DELL,Dell Technologies Inc.,Technology,409.74,265555755008,87.5,282.5,162.56,69.32,66.77,273.02,169.99,True,True,True,BULLISH TREND,False,64.56,POSITIVE,5,British billionaire trader sues Dell in £50m data centre row | 3 Momentum Anomaly Stocks to Profit as Iran Peace Deal Spurs Market | Dell Wins $1.44B Microsoft License Deal,32.62,19.37,5434124800.0,,,6.28,82.86,BUY SIGNAL
WST,https://www.tradingview.com/chart/?symbol=WST,"West Pharmaceutical Services, Inc.",Healthcare,329.83,23301693440,21.0,56.1,37.36,9.87,61.54,300.88,270.07,True,True,True,BULLISH TREND,False,56.6,NEUTRAL,5,DXCM Receives FDA Clearance for Stelo OTC CGM System for Children | Here's Why You Should Retain BDX Stock in Your Portfolio Now | How Investors May Respond To West Pharmaceutical Services (WST) Upgraded 2026 Outlook And Biologics Momentum,44.04,34.51,275662496.0,10.734,19.13,16.85,82.48,BUY SIGNAL
LRCX,https://www.tradingview.com/chart/?symbol=LRCX,Lam Research Corporation,Technology,376.13,470377267200,23.8,40.8,71.44,25.73,67.08,289.08,205.62,True,True,True,BULLISH TREND,False,68.95,POSITIVE,5,How Much Upside Can LRCX Stock's Growth Deliver? | Lam Research (LRCX) Stands Out on Strong Demand | Lam Research Expects Packaging Growth of 50%: Is It a Hidden Catalyst?,71.1,47.16,4352341504.0,35.282,66.76,30.94,82.22,BUY SIGNAL
AMZN,https://www.tradingview.com/chart/?symbol=AMZN,"Amazon.com, Inc.",Consumer Cyclical,246.05,2646786965504,16.6,74.8,16.2,-7.92,35.47,255.5,232.59,False,True,True,BUY THE DIP,False,58.33,NEUTRAL,5,"SpaceX rockets past Amazon, eyes Microsoft in sprint toward $3 trillion | SpaceX nears $3 trillion market cap, topping Amazon and Microsoft | Nvidia joins the AI funding wave as it plans a $20B bond sale: A closer look",31.67,24.95,9806624768.0,53.3,24.29,12.22,82.17,BUY SIGNAL
CPAY,https://www.tradingview.com/chart/?symbol=CPAY,"Corpay, Inc.",Technology,361.485,23627352064,25.4,49.1,16.53,9.82,58.11,332.02,311.86,True,True,True,BULLISH TREND,False,54.6,NEUTRAL,5,Accenture Set to Report Q3 Earnings: Here's What You Should Know | 1 Profitable Stock on Our Buy List and 2 We Ignore | 1 S&P 500 Stock with Impressive Fundamentals and 2 We Brush Off,21.67,11.81,2095142784.0,271.343,32.12,24.6,82.17,BUY SIGNAL
ROST,https://www.tradingview.com/chart/?symbol=ROST,"Ross Stores, Inc.",Consumer Cyclical,235.17,75438088192,20.6,37.4,13.31,10.48,50.9,224.88,189.07,True,True,True,BULLISH TREND,False,65.21,POSITIVE,5,Ross Stores (ROST) Stock Valuation Check After Strong Multi Year Returns And Premium P/E Ratio | Ross Stores (ROST) Upgraded to Strong Buy: Here's What You Should Know | Burlington Stores Is on a Hot Streak. The Stock Is Still Worth Checking Out.,32.89,27.46,2047583488.0,74.911,38.98,9.74,81.97,BUY SIGNAL
GLW,https://www.tradingview.com/chart/?symbol=GLW,Corning Incorporated,Technology,179.62,154587758592,20.0,138.9,36.23,-13.63,42.42,177.07,118.47,True,True,True,BUY THE DIP,False,62.18,POSITIVE,5,"Corning vs. QuantumScape: Which Technology Stock Is a Better Buy in 2026? | Corning, IBD Stock Of The Day, Boosted By AI Data Center Play | Corning (GLW) Stock After 97% Rally And Recent Pullback Is The Price Still Reasonable",85.94,42.9,612000000.0,80.363,16.74,11.09,81.32,BUY SIGNAL
DDOG,https://www.tradingview.com/chart/?symbol=DDOG,"Datadog, Inc.",Technology,234.03,83305365504,32.2,104.0,84.9,12.53,55.04,181.78,150.57,True,True,True,BULLISH TREND,False,65.16,POSITIVE,5,"Datadog, Inc. (DDOG) Is a Trending Stock: Facts to Know Before Betting on It | Stocks Rally as US-Iran Peace Deal Sinks Oil and Bond Yields | Stocks Soar on US-Iran Peace Agreement",585.08,82.09,936726528.0,32.221,3.93,3.69,81.16,BUY SIGNAL
CSCO,https://www.tradingview.com/chart/?symbol=CSCO,"Cisco Systems, Inc.",Technology,119.405,470626992128,12.0,37.1,52.16,3.35,51.4,102.79,81.37,True,True,True,BULLISH TREND,False,48.9,NEUTRAL,5,A new technology is learning how to move money | Databricks strikes deal to buy Panther Labs in cybersecurity push | Okta Rises 37% YTD: Is There More Room for the Stock to Jump?,39.8,25.0,9288375296.0,67.541,25.23,19.68,81.11,BUY SIGNAL
ADI,https://www.tradingview.com/chart/?symbol=ADI,"Analog Devices, Inc.",Technology,426.64,207810822144,37.2,110.5,37.59,0.24,52.74,394.66,306.32,True,True,True,BULLISH TREND,False,61.23,POSITIVE,5,"Analog Devices (ADI) Gained from Improved Demand and End Market Conditions | Has Analog Devices (ADI) Outpaced Other Computer and Technology Stocks This Year? | Will Record Q2, Empower Deal and AI Infrastructure Demand Shift Analog Devices' (ADI) Narrative?",63.58,28.88,3868954624.0,25.81,9.64,26.01,80.85,BUY SIGNAL
NXPI,https://www.tradingview.com/chart/?symbol=NXPI,NXP Semiconductors N.V.,Technology,307.67,77677780992,12.2,130.7,61.17,4.59,38.3,274.43,231.48,True,True,True,BULLISH TREND,False,64.52,POSITIVE,5,"NXP Semiconductors and Texas Instruments Stocks Trade Up, What You Need To Know | NXP Semiconductors (NXPI) is a Great Momentum Stock: Should You Buy? | Stocks Rally as US-Iran Peace Deal Sinks Oil and Bond Yields",29.41,17.45,2727124992.0,103.991,25.81,21.03,80.61,BUY SIGNAL
FTNT,https://www.tradingview.com/chart/?symbol=FTNT,"Fortinet, Inc.",Technology,145.62,106688258048,20.1,28.6,72.35,19.5,61.13,110.25,88.87,True,True,True,BULLISH TREND,False,59.37,NEUTRAL,5,Fortinet Stock: Aim For A 28% Return With This Strategy On The Cybersecurity Firm | Fortinet (FTNT) Outperforms Broader Market: What You Need to Know | The Bull Case For Fortinet (FTNT) Could Change Following Upbeat Outlook And Valuation Tensions – Learn Why,56.22,42.51,1813049984.0,57.31,132.39,27.49,80.55,BUY SIGNAL
STX,https://www.tradingview.com/chart/?symbol=STX,Seagate Technology Holdings plc,Technology,1040.075,233214951424,44.1,108.3,161.27,29.24,69.27,726.22,407.96,True,True,True,BULLISH TREND,False,65.43,POSITIVE,5,"This Storage Stock Is Now Up More Than 700% in a Year, and the AI Boom Could Push It Even Higher. | Western Digital, Seagate Stocks Keep Soaring. Why They’re Morgan Stanley’s Top Picks. | Western Digital Jumps 7% on Morgan Stanley’s 33% Price-Target Hike, Seagate Gains 5% as the AI Storage Boom Rolls On",99.15,38.39,1610000000.0,381.553,1787.97,21.6,80.43,BUY SIGNAL
LLY,https://www.tradingview.com/chart/?symbol=LLY,Eli Lilly and Company,Healthcare,1128.35,1006196359168,55.5,169.9,14.27,12.28,61.37,999.7,957.73,True,True,True,BULLISH TREND,False,64.21,POSITIVE,5,"European Stocks Higher in Tuesday Trading; Markets Buoyed by US, Iran Peace Deal; Inflation Remains a Concern | Eli Lilly (LLY) Buys 4E Therapeutics As Jaypirca Hits Key Leukemia Milestone | AstraZeneca Stock Down 7% in 3 Months: Should You Buy, Sell or Hold?",40.13,25.36,9156599808.0,139.015,107.46,34.99,80.39,BUY SIGNAL
DXCM,https://www.tradingview.com/chart/?symbol=DXCM,"DexCom, Inc.",Healthcare,73.735,28452345856,15.0,92.2,11.15,27.53,54.34,66.1,67.55,True,True,False,BULLISH TREND,False,66.11,POSITIVE,5,1 Cash-Producing Stock with Impressive Fundamentals and 2 We Find Risky | DXCM Receives FDA Clearance for Stelo OTC CGM System for Children | DexCom Expands Beyond CGMs With CONNECT Results AI Apps And Nutrisense Deal,31.65,23.92,1056637504.0,46.833,35.62,19.31,80.29,BUY SIGNAL
MPWR,https://www.tradingview.com/chart/?symbol=MPWR,"Monolithic Power Systems, Inc.",Technology,1562.53,76663439360,26.1,39.5,45.12,-3.32,43.69,1528.06,1132.36,True,True,True,BULLISH TREND,False,63.56,POSITIVE,5,"Monolithic Power Systems and Sensata Technologies Stocks Trade Up, What You Need To Know | Monolithic Power (MPWR) Is Up 6.50% in One Week: What You Should Know | Does Monolithic Power Systems' (MPWR) Higher Dividend Reveal Its True AI Expansion Strategy?",111.14,51.74,491719136.0,0.543,19.57,22.98,80.28,BUY SIGNAL
TXN,https://www.tradingview.com/chart/?symbol=TXN,Texas Instruments Incorporated,Technology,309.91,282046857216,18.6,31.3,60.45,0.56,43.39,274.59,206.86,True,True,True,BULLISH TREND,False,63.28,POSITIVE,5,Increased Demand for AI Applications Boosted Texas Instruments (TXN) in Q1 | New Strong Buy Stocks for June 16th | Best Income Stocks to Buy for June 16th,52.89,32.9,1068249984.0,83.741,32.35,29.11,80.26,BUY SIGNAL
PWR,https://www.tradingview.com/chart/?symbol=PWR,"Quanta Services, Inc.",Industrials,730.945,109685710848,26.3,51.0,27.36,-5.07,49.41,686.26,520.11,True,True,True,BUY THE DIP,False,60.62,POSITIVE,5,"2 Growth Stocks with All-Star Potential and 1 Facing Headwinds | Dow Jones Futures Rise, Oil Prices Dive As Trump Announces Iran Deal; SpaceX's Next Test | Oil’s 5.7% Weekly Drop Opens the Door for Jets, Materials, and Infrastructure ETFs",99.86,44.41,1037176768.0,69.121,13.53,3.67,80.2,BUY SIGNAL
APH,https://www.tradingview.com/chart/?symbol=APH,Amphenol Corporation,Technology,159.305,195982491648,58.4,24.1,16.68,23.31,68.47,140.8,135.49,True,True,True,BULLISH TREND,False,64.95,POSITIVE,5,Why Amphenol (APH) Stock Is Trading Up Today | Analyst Raises Amphenol (APH) Price Target Citing AI-Related Growth Opportunities | Is Defense Becoming a Long-Term Growth Driver for Amphenol?,45.91,28.02,3563725056.0,133.051,36.83,17.24,80.15,BUY SIGNAL
ANET,https://www.tradingview.com/chart/?symbol=ANET,"Arista Networks, Inc.",Technology,169.02,212824817664,35.1,25.0,24.88,19.05,61.1,157.44,141.86,True,True,True,BULLISH TREND,False,55.46,NEUTRAL,5,"AI Leader Arista Networks Poised To Hit New Buy Point Amid 'Supply Constraints' | Investors Heavily Search Arista Networks, Inc. (ANET): Here is What You Need to Know | Chip stocks jump as Strait of Hormuz reopens",58.08,37.99,4362237440.0,,31.52,38.32,79.89,BUY SIGNAL
WDC,https://www.tradingview.com/chart/?symbol=WDC,Western Digital Corporation,Technology,697.705,240486465536,45.5,482.9,143.84,42.67,71.05,457.08,256.7,True,True,True,WATCH - OVERBOUGHT,False,54.23,NEUTRAL,5,"Oil and US gas prices retreat on US-Iran ceasefire | Western Digital stock jumps as AI trade reignites | Stock Market Today: Dow Hits A High, Nasdaq Lags; SpaceX Surges, Aerospace Play Breaks Out (Live Coverage)",41.7,38.65,2075000064.0,17.81,85.92,55.29,79.59,BUY SIGNAL
JBL,https://www.tradingview.com/chart/?symbol=JBL,Jabil Inc.,Technology,381.615,40261382144,23.1,96.2,47.95,7.72,50.55,342.63,258.06,True,True,True,BULLISH TREND,False,54.77,NEUTRAL,5,"Is Jabil (JBL) a 'Buy' Ahead of Its Upcoming Earnings Announcement? | Jabil, Inc. (JBL) Hit a 52 Week High, Can the Run Continue? | Prediction: This Artificial Intelligence (AI) Infrastructure Stock Will Skyrocket in June (Hint: It's Not Micron Technology)",51.57,25.85,1203750016.0,328.91,59.7,2.48,79.33,BUY SIGNAL
AMD,https://www.tradingview.com/chart/?symbol=AMD,"Advanced Micro Devices, Inc.",Technology,521.51,850245320704,37.8,91.2,165.25,15.97,53.16,392.86,255.7,True,True,True,BULLISH TREND,False,41.12,NEUTRAL,5,"Trending: Robinhood cuts 10% of workforce, Yum Brands sells Pizza Hut, Qualcomm's AI deal | Why This AI Data Center Stock Is Surging on an AMD Partnership | Micron Stock Slips From Record High. Where It Goes Next.",173.23,39.79,7173374976.0,6.005,8.06,13.37,79.24,BUY SIGNAL
ARM,https://www.tradingview.com/chart/?symbol=ARM,Arm Holdings plc,Technology,404.6601,432208871424,20.1,47.9,232.51,77.09,61.97,248.11,163.59,True,True,True,BULLISH TREND,False,59.24,NEUTRAL,5,SpaceX becomes retail's biggest IPO trade: Chart of the Day | Arm Holdings' Licensing Momentum Continues to Power Revenue Growth | Focus on 5 AI Behemoths Carving a Niche in the Server CPU Chip Market,465.13,131.91,750499968.0,5.926,11.95,18.37,78.94,BUY SIGNAL
CB,https://www.tradingview.com/chart/?symbol=CB,Chubb Limited,Financial Services,329.9764,127984680960,10.2,78.7,0.27,2.12,60.69,323.87,306.48,True,True,True,BULLISH TREND,False,46.99,NEUTRAL,5,Today’s AI market hits all 5 warning signs that preceded 2000 Nasdaq crash. | Chubb (CB) Gets Lower Price Target from Barclays Amid Margin Pressure Concerns | Will Strong Results And Bigger Buybacks Change Chubb's (CB) Capital Allocation Narrative?,11.67,11.28,12622624768.0,31.458,15.43,18.53,78.86,BUY SIGNAL
FRT,https://www.tradingview.com/chart/?symbol=FRT,Federal Realty Investment Trust,Real Estate,124.69,10837855232,10.3,152.5,18.51,9.55,66.19,115.37,103.43,True,True,True,BULLISH TREND,False,63.19,POSITIVE,5,Jim Cramer Considers Federal Realty’s Dividend “Safe” | PLD vs. FRT: Which REIT Has the Better Growth Story? | Simon Property (SPG) Up 3% Since Last Earnings Report: Can It Continue?,21.61,40.16,448925248.0,138.432,14.78,38.57,78.86,BUY SIGNAL
CAT,https://www.tradingview.com/chart/?symbol=CAT,Caterpillar Inc.,Industrials,959.04,441726107648,22.2,30.2,37.31,4.22,57.63,859.75,660.61,True,True,True,BULLISH TREND,False,44.57,NEUTRAL,5,"The 'Dirty Dozen' is the new 'Mag 7': Will OpenAI or Anthropic take the last spot? | The Dow Is Above 52,000. It's Only Been 12 Days Since It Hit 51,000. | How Does the Belvidere Buyout Enhance Generac's Generator Portfolio?",47.76,31.86,3776624896.0,230.793,51.33,13.33,78.52,BUY SIGNAL
MNST,https://www.tradingview.com/chart/?symbol=MNST,Monster Beverage Corporation,Consumer Defensive,92.905,90861846528,26.9,28.9,20.58,6.68,65.67,82.81,75.85,True,True,True,BULLISH TREND,False,52.73,NEUTRAL,5,"After Warren Buffett’s Successor’s Q1 Purge, Just 4 Stocks Make Up Over 50% of Berkshire Hathaway | Jim Cramer on Monster Beverage: “Buy It Into the Tsunami, It’ll Work” | Money Is Quietly Rotating Out of the AI Trade. These 3 Unexpected Stocks Just Hit All-Time Highs.",44.88,35.9,1684340480.0,1.082,26.65,23.11,78.42,BUY SIGNAL
DVA,https://www.tradingview.com/chart/?symbol=DVA,DaVita Inc.,Healthcare,208.99,13414023168,6.0,43.5,41.0,4.63,67.63,177.9,141.61,True,True,True,BULLISH TREND,False,68.23,POSITIVE,5,DaVita vs. Encompass Health: Which Healthcare Stock Is a Better Buy in 2026? | Best Growth Stocks to Buy for June 15th | DaVita (DVA) Stock After 82% YTD Surge Is The Price Still Justified,20.13,12.16,999662976.0,1261.331,80.98,5.65,78.36,BUY SIGNAL
NTAP,https://www.tradingview.com/chart/?symbol=NTAP,"NetApp, Inc.",Technology,159.99,31345229824,12.5,23.4,57.29,33.4,61.13,127.87,113.63,True,True,True,BULLISH TREND,False,75.36,POSITIVE,5,Can Seagate's Mozaic HAMR Platform Strengthen Its Competitive Edge? | Seagate's Strengthening Free Cash Flow: Can Growth Continue? | Is Western Digital's Free Cash Flow Supporting Long-Term Growth?,25.24,16.23,1295250048.0,202.295,106.73,18.43,78.33,BUY SIGNAL
CASY,https://www.tradingview.com/chart/?symbol=CASY,"Casey's General Stores, Inc.",Consumer Cyclical,875.94,32468408320,14.5,66.0,30.19,-0.18,60.37,806.08,644.63,True,True,True,BULLISH TREND,False,57.3,NEUTRAL,5,Here's Why Casey's General Stores (CASY) is a Great Momentum Stock to Buy | MarketBeat Week in Review – 06/08 - 06/12 | Casey’s (CASY) Stock Valuation After Earnings Beat Dividend Hike And Expanded US$1b Buyback,45.65,37.48,547447360.0,73.155,19.15,4.07,78.28,BUY SIGNAL
GEN,https://www.tradingview.com/chart/?symbol=GEN,Gen Digital Inc.,Technology,24.47,14741556224,27.0,265.2,19.37,6.13,48.14,22.08,24.51,True,False,False,NO CLEAR ENTRY,False,62.62,POSITIVE,5,"Gen Digital (GEN) Valuation Check After Best In Class Identity Protection Recognition | GE Vernova (GEV): Argus Raises Its Target to $1,300 After a Blowout Quarter | Gen Digital Bets On AI Browser Security To Support Norton Ecosystem",15.59,7.45,1422249984.0,316.354,39.88,19.46,78.01,BUY SIGNAL
AAPL,https://www.tradingview.com/chart/?symbol=AAPL,Apple Inc.,Technology,299.43,4398422425600,16.6,21.8,18.56,0.42,43.05,286.24,266.8,True,True,True,BULLISH TREND,False,56.96,NEUTRAL,5,"SpaceX rockets past Amazon, eyes Microsoft in sprint toward $3 trillion | Elon Musk's SpaceX is already closing in on Microsoft's market cap and a big Apple milestone | Elon Musk could lose nearly $1 trillion and still be the world's richest person",36.21,31.21,101090746368.0,79.548,141.47,27.15,78.01,BUY SIGNAL
ROK,https://www.tradingview.com/chart/?symbol=ROK,"Rockwell Automation, Inc.",Industrials,469.05,52193046528,11.9,39.6,29.24,3.06,56.48,429.57,389.24,True,True,True,BULLISH TREND,False,61.37,POSITIVE,5,"Palantir upgraded, Rocket Companies downgraded: Wall Street's top analyst calls | 3 Profitable Stocks That Concern Us | Strength in Technology Enabled Products Drives Roper: Can the Momentum Sustain?",48.66,32.3,974499968.0,113.367,27.18,12.36,77.61,BUY SIGNAL
