Ticker,Chart Link,Company,Sector,Price,Market Cap,Revenue Growth %,EPS Growth %,3M Momentum %,Pullback 1M %,RSI,MA50,MA200,Above MA50,Above MA200,MA50 > MA200,Entry Setup,High Conviction Dip Buy,News Sentiment Score,News Sentiment Label,News Headlines Count,Top News Headlines,P/E,Forward P/E,Free Cash Flow,Debt to Equity,ROE %,Profit Margin %,Score,Signal
MU,https://www.tradingview.com/chart/?symbol=MU,"Micron Technology, Inc.",Technology,983.0,1110193471488.0,345.7,1368.5,104.09,-6.52,50.76,952.05,498.2,True,True,True,BUY THE DIP,False,49.56,NEUTRAL,5.0,Why Micron Stock Popped Today | Stock Market Today: Nasdaq Pounded As Oil Surges; Honeywell Crosses Trendline (Live Coverage) | Micron vs. SK Hynix: Which Is the Better Memory Stock to Buy?,22.22,6.39,7639499776.0,6.33,66.64,55.91,93.76,BUY SIGNAL
WDC,https://www.tradingview.com/chart/?symbol=WDC,Western Digital Corporation,Technology,558.3,192436043776.0,45.5,482.9,38.23,-16.76,52.7,558.2,320.2,True,True,True,BULLISH TREND,False,54.59,NEUTRAL,5.0,GSI Technology Falls 21% in Three Months: Should You Buy the Dip? | Western Digital (WDC) Stock Looks Reasonable On Earnings While Cash Flow Looks Cheap | WDC vs. SMCI: Which AI Hardware Stock is the Smarter Investment Now?,33.43,30.1,2075000064.0,17.81,85.92,55.29,89.57,BUY SIGNAL
INCY,https://www.tradingview.com/chart/?symbol=INCY,Incyte Corporation,Healthcare,116.1,23194707968.0,20.9,83.8,21.61,11.21,47.92,106.03,100.14,True,True,True,BULLISH TREND,False,49.8,NEUTRAL,5.0,"Earnings Preview: LENZ Therapeutics, Inc. (LENZ) Q2 Earnings Expected to Decline | HALO Inks Deal With INCY to Support Cancer Therapy Development | Incyte (INCY) Reports Next Week: Wall Street Expects Earnings Growth",16.42,13.22,558867008.0,0.701,30.82,26.71,86.28,BUY SIGNAL
AFL,https://www.tradingview.com/chart/?symbol=AFL,Aflac Incorporated,Financial Services,123.76,62991970304.0,27.9,3860.0,8.06,4.18,63.31,118.29,112.05,True,True,True,BULLISH TREND,False,54.76,NEUTRAL,5.0,These 4 Stocks Are Wall Street’s Most Reliable Dividend Growers | 5 Insurance Stocks Poised to Outperform Q2 Earnings Expectations | Aflac Has Raised Its Dividend for 43 Straight Years. Here's the Catch Income Investors Need to Watch.,14.14,16.4,4923125248.0,48.276,16.47,25.6,85.28,BUY SIGNAL
CSCO,https://www.tradingview.com/chart/?symbol=CSCO,"Cisco Systems, Inc.",Technology,113.07,445658005504.0,12.0,37.1,28.11,-6.32,51.29,117.01,87.48,False,True,True,BUY THE DIP,False,56.8,NEUTRAL,5.0,"Has Cisco Systems (CSCO) Run Ahead Of Fair Value Following Its Webex Contact Center Deal? | Texas Instruments Q2 Earnings Beat Estimates, Revenues Rise Y/Y | What HPE Stock’s AI Order Book Was Saying Before The Surge",37.69,23.6,9288375296.0,67.541,25.23,19.68,84.14,BUY SIGNAL
LLY,https://www.tradingview.com/chart/?symbol=LLY,Eli Lilly and Company,Healthcare,1181.235,1053356130304.0,55.5,169.9,28.95,6.7,43.53,1125.1,1012.13,True,True,True,BULLISH TREND,False,56.49,NEUTRAL,5.0,There's A Hidden Gem In Eli Lilly's Weight-Loss News — And It Could Slam Compounders | Lilly Targets Early 2027 Filing for Next Obesity Drug | Eli Lilly's Retatrutide Clears Two More Trials Ahead of 2027 Filing,41.98,26.33,9156599808.0,139.015,107.46,34.99,83.97,BUY SIGNAL
DELL,https://www.tradingview.com/chart/?symbol=DELL,Dell Technologies Inc.,Technology,442.955,286211997696.0,87.5,282.5,109.15,3.72,59.61,378.67,205.92,True,True,True,BULLISH TREND,False,64.14,POSITIVE,5.0,"Prediction: Dell Technologies Stock Could Be 30% Higher by This Time Next Year | Zacks Investment Ideas feature highlights: NVIDIA, Google, Palantir, ServiceNow and Super Micro Computer | STMicroelectronics Q2 Earnings & Revenues Top Estimates, Both Up Y/Y",35.3,20.34,5434124800.0,,,6.28,82.83,BUY SIGNAL
A,https://www.tradingview.com/chart/?symbol=A,"Agilent Technologies, Inc.",Healthcare,138.47,39108349952.0,10.0,60.0,21.25,9.53,65.4,128.27,130.51,True,True,False,BULLISH TREND,False,66.19,POSITIVE,5.0,"1 of Wall Street’s Favorite Stocks on Our Buy List and 2 We Brush Off | Alamar Hits A High Note On Alzheimer's Buzz | Agilent (A): Buy, Sell, or Hold Post Q1 Earnings?",27.81,20.94,930625024.0,49.733,21.33,19.55,81.65,BUY SIGNAL
AMAT,https://www.tradingview.com/chart/?symbol=AMAT,"Applied Materials, Inc.",Technology,564.97,448563216384.0,11.4,33.5,40.05,-3.57,43.07,535.35,364.58,True,True,True,BULLISH TREND,False,63.72,POSITIVE,5.0,"Applied Materials (AMAT) Jumps On TSMC Expansion As Fair Value Debate Stays Open | Texas Instruments Q2 Earnings Beat Estimates, Revenues Rise Y/Y | NVTS Set to Report Q2 Earnings: Buy, Sell or Hold the Stock?",53.1,33.53,3040375040.0,30.399,39.69,29.31,81.55,BUY SIGNAL
WST,https://www.tradingview.com/chart/?symbol=WST,"West Pharmaceutical Services, Inc.",Healthcare,355.48,25113806848.0,21.0,56.1,16.2,5.67,40.43,334.41,282.5,True,True,True,BULLISH TREND,False,68.34,POSITIVE,5.0,"West Pharmaceutical Services Inc (WST) Q2 2026 Earnings Call Highlights: Strong Organic Growth ... | WST Stock Jumps on Q2 Earnings & Sales Beat, EPS View Up on HVP Growth | Reasons to Add QuidelOrtho Stock in Your Portfolio for Now",47.46,36.95,275662496.0,10.734,19.13,16.85,81.32,BUY SIGNAL
DDOG,https://www.tradingview.com/chart/?symbol=DDOG,"Datadog, Inc.",Technology,244.69,87099899904.0,32.2,104.0,91.37,10.94,40.0,238.67,164.33,True,True,True,BULLISH TREND,False,62.74,POSITIVE,5.0,"This Dog Sniffs Out A Buy Point While Monitoring AI Behavior With AWS, Azure, Google | DDOG's Enterprise Customer Expansion Accelerates: More Growth Ahead? | What's Behind Accenture's Nine-Billion-Dollar Bet on Its Stock?",627.41,84.83,936726528.0,32.221,3.93,3.69,80.97,BUY SIGNAL
